v1;v2;v3;Vraag1;Vraag2;Vraag3;Vraag4;Vraag5;Vraag6;Vraag7;Vraag8;Vraag9;Vraag10;Vraag11;Vraag12;Vraag13;Vraag14;Vraag15;Vraag16;Vraag17;Vraag18;Vraag19;Vraag20;Vraag21;Vraag22;Vraag23;Vraag24;Vraag25;Vraag26;Vraag27;Vraag28;Vraag29;Vraag30;Vraag31;Vraag32;Vraag33;Vraag34;Vraag35;Vraag36;Vraag37;Vraag38;Vraag39;Vraag40;Vraag41;Vraag42;Vraag43;Vraag44;Vraag45;Vraag46;Vraag47;Vraag48;Vraag49;Vraag50;Vraag51;Vraag52;Vraag53;Vraag54;Vraag55;Vraag56
Vanuit mijn rol binnen een opleiding.;HBO-Rechten vt team 2;Instituut voor Recht;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2;3;2;4;2;2;2;2;6;3;2;2;2;2;2;2;2;2;2;2;3;2;3;2;2;3;2;2;2;2;3;3;3;3;3
Vanuit mijn rol binnen een opleiding.;School voor Journalistiek 3 Team 2;Instituut voor Media;1;2;2;2;2;2;2;2;2;1;2;2;1;2;2;1;1;1;3;2;2;3;2;1;3;1;1;2;1;3;2;2;2;2;2;2;2;2;3;2;2;3;2;6;3;3;6;2;6;2;6;3;3;3;3;3
Vanuit mijn rol binnen een opleiding.;Theo Thijssen Utrecht team 3;Instituut voor Onderwijs en Orthopedagogiek;1;2;2;2;2;2;2;2;2;1;2;2;2;4;4;4;4;4;4;4;2;3;2;2;2;2;2;2;4;4;3;4;4;1;1;1;1;1;4;4;4;4;4;4;3;3;4;4;4;3;4;2;2;4;4;4
Vanuit mijn rol binnen een opleiding.;Theo Thijssen Utrecht team 3;Instituut voor Onderwijs en Orthopedagogiek;1;2;2;1;1;1;1;1;1;1;1;1;1;2;2;2;2;3;3;2;4;4;4;1;2;1;1;1;2;2;3;4;3;1;1;1;1;2;3;3;3;4;5;4;4;4;4;4;4;2;3;3;3;3;3;3
Vanuit mijn rol binnen een lectoraat / kenniscentrum.;Lectoraat Onderzoekend Vermogen;Kenniscentrum Leren en Innoveren;3;2;3;2;3;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;1;2;1;1;1;1;2;3;3;4;1;1;1;1;1;2;2;2;2;2;2;2;2;3;2;3;2;2;3;3;2;3;3
Vanuit mijn rol binnen een opleiding.;HBO-Rechten vt team 3&4;Instituut voor Recht;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;3;3;2;2;2;2;2;3;2;2;2;2;2;3;4;3;2;2;2;2;2;2;2;3;2;2;2;4;2;2;3;4;3;1;2;1;2;2;4;4
Vanuit mijn rol binnen een opleiding.;Team Mondzorgkunde 1;Instituut voor Paramedische Studies;1;2;3;1;2;1;1;3;1;3;1;3;1;3;3;4;3;3;5;3;3;2;5;2;4;3;2;7;6;5;5;5;7;1;1;2;1;1;3;3;4;4;3;6;5;3;3;3;7;4;7;5;5;6;5;6
Vanuit mijn rol binnen een opleiding.;Nederlands;Instituut Archimedes;1;2;2;2;2;2;2;2;2;1;3;2;2;2;2;3;3;3;3;3;3;3;2;1;1;2;2;2;3;3;3;2;3;2;2;2;1;2;2;3;3;2;3;3;2;3;3;3;3;2;3;3;3;3;4;4
Vanuit mijn rol binnen een opleiding.;TBK Deeltijd;Institute for Design & Engineering;1;2;3;3;3;2;2;2;2;2;2;2;3;2;3;3;3;3;3;2;2;2;3;2;2;2;2;2;2;2;2;2;2;2;2;3;2;2;2;2;2;3;3;2;2;2;3;2;2;2;3;6;6;6;6;6
Vanuit mijn rol binnen een ondersteunende dienst.;Praktijkbureau cluster Heidelberglaan 15;Dienst Bedrijfsvoering;2;2;2;2;2;2;2;2;1;2;4;8;2;2;2;2;3;2;2;2;2;2;2;2;2;2;2;4;2;2;2;2;4;2;4;4;3;4;3;3;2;3;2;3;3;4;4;2;2;2;2;2;2;2;2;2
Vanuit mijn rol binnen een opleiding.;Wiskunde;Instituut Archimedes;1;2;3;2;2;1;1;2;1;2;2;2;2;2;2;1;2;1;2;1;2;3;2;2;3;2;1;1;2;3;4;2;1;1;2;2;1;1;2;2;1;1;4;3;2;2;3;3;3;1;2;2;3;2;4;5
Vanuit mijn rol binnen een ondersteunende dienst.;Facilities Padualaan 99;Dienst Bedrijfsvoering;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;2;2;2;2;2;2;2;3;2;2;2;2;2;2;2;2;2;2;3;3;2;3;2;2;2;2;2;2;2
Vanuit mijn rol binnen een opleiding.;Geschiedenis;Instituut Archimedes;1;2;1;2;2;1;2;2;2;1;1;1;2;2;2;2;3;3;3;4;2;3;3;2;2;1;1;2;2;3;4;3;3;1;1;2;1;2;2;3;2;2;3;3;3;3;4;3;4;2;3;4;2;4;3;4
Vanuit mijn rol binnen een opleiding.;SvO Regio Den Haag/Rotterdam;Instituut voor Onderwijs en Orthopedagogiek;1;2;4;1;2;1;1;1;1;1;2;1;1;4;4;5;5;5;5;4;2;2;4;2;1;1;1;1;4;4;4;4;4;1;1;1;1;1;4;4;4;4;4;3;4;4;4;4;4;2;4;5;5;5;5;5
Vanuit mijn rol binnen een opleiding.;Team verpleegkunde jaar 4;Instituut voor Verpleegkundige Studies;1;2;2;2;2;2;2;2;2;2;2;1;1;3;3;4;4;4;3;3;3;3;3;2;2;2;2;3;3;3;4;3;3;1;2;2;2;2;2;4;3;3;3;2;3;4;5;4;4;2;2;2;2;3;4;4
Vanuit mijn rol binnen een ondersteunende dienst.;Corporate Affairs;Dienst Marketing & Communicatie;2;2;2;2;2;2;3;2;3;1;2;2;2;3;3;2;3;2;2;2;2;2;2;3;2;2;2;4;2;3;4;4;3;1;2;2;2;1;3;3;3;3;4;3;2;3;4;2;3;3;2;2;2;2;3;2
Vanuit mijn rol binnen een opleiding.;School voor Journalistiek 3 Team 2;Instituut voor Media;1;2;2;2;2;3;1;2;2;1;2;1;2;2;2;2;4;2;3;2;4;3;4;2;2;2;2;5;2;2;4;4;3;2;2;2;1;1;2;4;1;2;3;4;2;2;4;2;4;1;1;2;2;2;2;8
Vanuit mijn rol binnen een opleiding.;Frans;Instituut Archimedes;1;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;2;2;1;1;1;1;1;2;2;2;2;1;1;1;1;1;1;2;2;1;1;2;2;1;2;2;3;3;2;2;2;2;2;2;2
Vanuit mijn rol binnen een opleiding.;Commerciele Economie team 2;Institute for Marketing & Commerce;1;2;2;2;2;2;2;2;1;1;1;2;7;2;2;3;3;2;3;2;2;2;2;1;1;1;1;1;2;3;3;2;2;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
Vanuit mijn rol binnen een ondersteunende dienst.;Vastgoed en Facilities;Dienst Bedrijfsvoering;2;2;4;1;1;1;1;1;1;1;1;1;1;1;1;1;7;1;1;2;2;2;4;1;1;1;1;1;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;5;5;5;5;5
Vanuit mijn rol binnen een opleiding.;AD Eventmanager;Institute voor Associate Degrees;1;2;2;2;1;1;2;2;1;1;1;1;2;2;1;2;2;2;4;2;2;1;3;1;1;1;1;1;2;4;4;3;5;2;1;2;2;1;2;1;2;2;4;4;2;2;4;4;4;4;4;2;2;2;4;3
Vanuit mijn rol binnen een opleiding.;Fysiotherapie team 5;Instituut voor Bewegingsstudies;1;2;2;2;2;2;2;1;1;1;3;1;2;2;2;2;2;2;2;2;1;1;1;1;1;1;2;2;1;3;2;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;4;3;2;1;1;1;1;2;2;2
Vanuit mijn rol binnen een opleiding.;Support IMC;Institute for Marketing & Commerce;1;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1
Vanuit mijn rol binnen een opleiding.;IVK voltijd team 3;Instituut voor Veiligheid;1;2;4;3;2;2;2;2;3;2;2;3;2;4;4;5;5;5;5;3;5;4;5;3;4;4;3;2;3;4;5;4;4;2;2;2;2;3;3;4;4;4;4;4;4;4;5;4;3;4;5;5;4;4;4;4
Vanuit mijn rol binnen een ondersteunende dienst.;Praktijkbureau cluster Padualaan 101;Dienst Onderwijs, Onderzoek & Studentzaken;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2;2;2;2;2;2;2;3;2;3;2;2;3;2;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2;3;3;3;3;3
Vanuit mijn rol binnen een opleiding.;HBO-Rechten vt team 2;Instituut voor Recht;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2;3;2;2;2;3;3;2;2;3;3;3;3;3;2;3;2;2;3;2;2;2;3;2;3;3;8;3;3;3;2;2;2;2;3;2;2
Vanuit mijn rol binnen een lectoraat / kenniscentrum.;Lectoraat Financieel Economische Innovatie;Kenniscentrum Digitale Business & Media;3;2;1;2;2;1;2;2;1;1;3;1;2;2;2;3;3;3;2;2;2;2;2;2;3;2;2;2;2;3;2;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;3;1;2;2;2;1;1;2;2;2
Vanuit mijn rol binnen een ondersteunende dienst.;Team Kwaliteitszorg en Assortiment;Dienst Onderwijs, Onderzoek & Studentzaken;2;2;1;2;1;2;2;1;1;1;2;1;1;2;2;2;2;2;3;2;1;1;1;2;1;2;2;2;2;3;2;1;2;1;2;1;1;1;2;2;1;3;2;2;2;3;3;2;2;2;2;2;2;2;1;2
Vanuit mijn rol binnen een opleiding.;Team Orthoptie;Instituut voor Paramedische Studies;1;2;4;4;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;2;2;2;2;4;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;4;2;2;2;2;2
Vanuit mijn rol binnen een opleiding.;Creative Business 5;Instituut voor Communicatie;1;2;4;3;3;2;2;2;2;1;1;2;3;1;1;1;2;1;2;2;4;4;4;1;4;4;2;2;2;3;4;4;2;1;2;1;1;1;2;2;2;2;2;3;3;3;4;4;4;2;2;4;4;4;3;3
Vanuit mijn rol binnen een ondersteunende dienst.;Plannen & Roosteren Padua;Dienst Bedrijfsvoering;2;2;2;2;2;2;2;2;1;1;3;2;2;1;1;2;2;2;1;3;2;2;2;2;1;2;2;3;2;2;3;3;3;1;2;2;3;1;2;2;2;2;3;3;4;4;3;4;3;3;3;3;2;4;4;3
Vanuit mijn rol binnen een opleiding.;Onbekostigde Master Fysiotherapie;Instituut voor Bewegingsstudies;1;1;1;2;2;1;2;1;1;1;3;1;2;1;1;2;2;1;2;2;2;2;2;2;1;1;1;2;2;3;2;1;2;1;2;1;1;1;2;1;2;1;1;2;1;1;3;2;1;1;3;1;1;1;2;1
Vanuit mijn rol binnen een opleiding.;HBO-ICT TI;​Institute for Information & Communication Technology;1;2;2;2;2;2;3;2;2;2;2;2;6;2;2;2;2;2;2;1;1;1;2;2;2;2;3;2;2;2;4;2;2;2;2;3;3;2;2;8;2;2;3;3;2;2;3;2;2;2;2;3;2;3;2;3
Vanuit mijn rol binnen een opleiding.;Instituut voor Paramedische Studies;Instituut voor Paramedische Studies;1;1;2;2;2;2;2;1;2;2;2;1;2;1;1;2;2;1;2;2;2;2;2;2;2;2;2;2;3;2;2;2;2;1;1;2;1;1;2;2;2;2;2;1;1;1;2;2;2;2;2;1;1;2;2;2
Vanuit mijn rol binnen een opleiding.;Nederlands;Instituut Archimedes;1;2;2;1;2;1;2;3;2;1;1;1;2;2;2;2;3;2;3;3;3;4;4;3;2;2;2;4;3;4;4;4;5;2;2;2;2;2;2;2;2;3;4;5;3;3;3;3;5;3;3;4;4;4;2;3
Vanuit mijn rol binnen een opleiding.;IVK voltijd team 2;Instituut voor Veiligheid;1;2;2;2;3;2;2;1;4;2;3;2;1;2;2;3;6;2;1;3;1;4;2;3;2;4;1;1;2;2;4;3;3;2;2;4;4;3;3;3;2;2;3;6;2;2;4;2;2;2;6;1;3;3;5;4
Vanuit mijn rol binnen een ondersteunende dienst.;Onderwijs & Onderzoek;Dienst Onderwijs, Onderzoek & Studentzaken;2;2;1;2;2;2;2;2;2;2;3;3;2;3;2;2;3;3;3;3;2;4;3;3;2;2;2;2;3;3;4;4;3;1;2;3;2;2;3;2;2;2;4;4;4;4;4;4;4;3;2;3;3;8;3;3
Vanuit mijn rol binnen een ondersteunende dienst.;Team Advisering Medezeggenschap;Dienst Onderwijs, Onderzoek & Studentzaken;2;2;1;2;2;2;2;2;2;2;3;2;2;2;2;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;4;2;2;3;2;2;2;2;2;2;2;2;4;2;2;2;2;2;2;2;2;2;2;2;2
Vanuit mijn rol binnen een opleiding.;Fysiotherapie team 2;Instituut voor Bewegingsstudies;1;2;2;2;2;2;2;2;1;1;1;2;1;2;2;2;2;2;2;3;2;6;2;3;2;3;3;4;3;3;6;6;6;1;1;2;2;3;2;4;4;6;7;4;4;4;6;4;4;3;5;6;6;6;6;6
Vanuit mijn rol binnen een opleiding.;B HRM VT;Institute for People & Business;1;2;2;1;1;1;1;1;2;1;2;2;7;2;2;2;2;2;2;2;1;2;2;2;2;2;7;2;2;3;6;2;2;7;7;7;7;1;6;6;6;2;6;6;2;2;6;2;6;6;6;4;4;3;3;6
Vanuit mijn rol binnen een ondersteunende dienst.;Contractbureau;Dienst Bedrijfsvoering;2;2;2;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;2;1;1;2;2;1;1;2;1;1;2;3;4;4;2;2;3;1;1;2;6;2;6;6;6;7;2;3;6;2;2;6;2;2;2;6;2;6
Vanuit mijn rol binnen een ondersteunende dienst.;Corporate Affairs;Dienst Marketing & Communicatie;2;2;2;1;1;2;2;2;2;2;2;2;2;2;3;3;4;3;2;3;3;2;4;2;2;1;1;1;3;3;3;3;4;2;3;2;2;2;2;3;2;2;2;3;5;3;3;3;3;2;2;4;4;4;4;3
Vanuit mijn rol binnen een ondersteunende dienst.;Studievoortgangsregistratie Team 1;Dienst Bedrijfsvoering;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;7;1;1;1;1;3;1;3;2;2;1;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2
Vanuit mijn rol binnen een ondersteunende dienst.;Plannen & Roosteren Padua;Dienst Onderwijs, Onderzoek & Studentzaken;2;2;2;2;2;2;2;1;2;1;2;2;2;2;2;2;3;2;1;3;2;3;2;2;2;2;2;3;2;3;4;4;3;1;2;2;2;2;2;2;2;2;3;3;2;2;3;4;3;1;2;3;2;3;3;3
Vanuit mijn rol binnen een opleiding.;Natuurkunde;Instituut Archimedes;1;1;3;2;2;2;1;2;1;2;1;1;1;2;6;2;6;2;3;2;4;5;3;1;2;1;1;2;2;3;3;2;3;1;1;1;1;1;1;1;1;1;1;1;2;2;3;4;4;2;1;2;2;2;2;2
Vanuit mijn rol binnen een opleiding.;Ad Software Development;Institute voor Associate Degrees;1;2;3;3;2;3;2;1;2;1;2;2;3;2;3;2;6;2;3;2;3;1;2;2;3;2;2;2;2;3;6;1;2;7;1;4;4;4;1;2;2;3;2;4;2;2;3;2;3;1;6;2;4;4;3;4
Vanuit mijn rol binnen een opleiding.;B Bedrijfskunde DT;Institute for People & Business;1;2;2;3;2;2;2;2;2;2;2;2;2;2;6;2;2;3;2;2;4;4;3;2;2;3;2;2;3;6;4;3;2;2;2;3;2;2;3;3;2;3;2;6;2;4;4;2;4;4;2;2;2;2;3;3
Vanuit mijn rol binnen een opleiding.;Nederlands;Instituut Archimedes;1;2;2;2;3;2;1;2;2;1;2;3;2;2;6;2;6;2;4;2;3;3;3;2;2;4;2;2;3;2;6;3;2;2;3;2;2;2;2;2;2;2;6;6;2;3;3;3;3;1;3;2;3;3;7;3
Vanuit mijn rol binnen een ondersteunende dienst.;Dienst Onderwijs Onderzoek & Studentzaken;Dienst Onderwijs, Onderzoek & Studentzaken;2;1;2;2;1;2;2;2;2;2;2;2;2;1;2;2;7;1;2;2;1;2;1;2;5;2;1;4;1;4;7;7;1;1;2;2;3;3;2;1;2;2;4;5;1;1;4;2;3;1;1;2;2;4;4;2
Vanuit mijn rol binnen een ondersteunende dienst.;Ketenregie en Accountmanagement;Dienst Bedrijfsvoering;2;2;2;1;1;2;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;1;2;1;2;2;2;2;2;2;1;2;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
Vanuit mijn rol binnen een opleiding.;HRM VT team 2;Institute for People & Business;1;2;1;1;1;1;1;1;1;1;1;1;1;7;7;7;7;7;7;7;7;7;7;1;1;3;1;1;7;7;7;7;7;1;1;1;1;1;7;7;7;7;7;7;1;1;7;7;7;7;7;1;1;1;1;1
Vanuit mijn rol binnen een opleiding.;Bachelor Pedagogiek vt3;Instituut voor Ecologische Pedagogiek;1;2;2;1;2;2;1;1;1;2;2;2;1;2;2;2;3;2;2;3;2;2;2;2;2;2;1;2;3;2;4;3;2;1;2;2;2;2;2;1;2;1;4;4;1;1;2;1;1;2;2;3;3;4;2;2
Vanuit mijn rol binnen een opleiding.;Team Optometrie 2;Instituut voor Paramedische Studies;1;2;5;1;2;2;2;1;2;1;1;1;2;4;4;5;4;3;4;4;5;4;5;2;3;4;2;5;4;5;5;5;5;1;2;2;2;3;4;5;5;5;5;5;5;5;5;4;5;4;5;4;5;5;5;5
Vanuit mijn rol binnen een ondersteunende dienst.;Grootboek;Dienst Finance, Control & Analytics;2;2;2;3;2;2;2;2;1;2;2;2;3;2;3;3;3;2;2;3;2;2;2;2;2;2;2;2;3;3;3;2;3;2;4;3;2;3;2;3;3;2;2;3;3;3;3;3;3;3;2;2;2;2;3;3
Vanuit mijn rol binnen een opleiding.;Fysiotherapie team 3;Instituut voor Bewegingsstudies;1;2;3;1;1;1;2;1;1;1;3;1;2;6;6;6;6;6;6;2;2;2;2;2;1;2;1;1;6;6;6;6;3;1;1;1;1;1;6;6;6;6;6;6;2;3;3;2;2;2;3;3;3;3;3;3
Vanuit mijn rol binnen een ondersteunende dienst.;IM&ICT PT Onderwijs;Dienst Informatiemanagement & ICT;2;2;2;2;2;2;2;2;2;1;2;2;2;1;1;1;2;1;1;3;1;2;2;3;2;1;2;3;3;2;3;3;3;2;8;2;2;2;1;2;2;2;3;3;2;2;3;3;3;2;2;3;3;3;4;4
Vanuit mijn rol binnen een opleiding.;Communicatie & Media Design;Instituut voor Media;1;2;2;2;2;2;2;3;2;2;1;1;1;3;2;3;4;3;3;3;3;2;3;2;4;2;2;2;3;4;4;4;4;2;2;2;2;2;2;4;3;4;4;4;2;4;4;4;3;2;2;3;3;3;4;4
Vanuit mijn rol binnen een ondersteunende dienst.;Studentparticipatie;Dienst Onderwijs, Onderzoek & Studentzaken;2;2;3;2;2;2;2;2;2;2;4;2;2;2;2;2;3;2;2;4;3;4;4;2;2;2;2;2;3;3;3;3;4;2;3;2;2;2;2;3;3;3;2;3;3;3;3;3;3;2;2;4;4;4;4;4
Vanuit mijn rol binnen een opleiding.;HBO-ICT Studieloopbaanbegeleiding;​Institute for Information & Communication Technology;1;2;2;2;2;2;1;1;2;1;2;2;1;5;5;4;5;2;5;3;5;5;5;3;2;4;2;2;3;6;6;5;6;2;2;3;3;1;2;4;3;7;5;2;5;5;5;5;5;6;3;3;4;5;5;5
Vanuit mijn rol binnen een opleiding.;Bachelor Pedagogiek vt2;Instituut voor Ecologische Pedagogiek;1;2;2;2;2;2;1;1;1;1;2;1;1;2;2;2;3;2;2;3;3;2;3;3;2;2;2;2;2;3;4;3;2;2;2;2;2;2;3;3;2;2;2;4;1;2;3;3;3;2;3;3;2;4;3;4
Vanuit mijn rol binnen een ondersteunende dienst.;Scheikunde;Dienst Onderwijs, Onderzoek & Studentzaken;2;2;2;2;3;3;3;3;2;2;2;3;3;1;6;6;6;6;1;3;2;2;3;3;2;3;2;3;6;6;6;6;6;3;4;6;3;3;6;6;6;6;6;6;3;3;6;2;6;6;6;3;2;2;6;6
Vanuit mijn rol binnen een opleiding.;Ad Sales en Accountmanagement;Institute voor Associate Degrees;1;2;2;2;2;2;2;3;3;2;4;3;2;2;2;2;6;2;3;2;2;2;3;3;4;2;2;3;2;3;3;3;3;2;2;2;2;3;2;6;2;2;2;2;2;2;4;3;6;1;3;3;2;4;3;3
Vanuit mijn rol binnen een opleiding.;Fysiotherapie team 2;Instituut voor Bewegingsstudies;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;4;3;2;2;2;3;2;2;4;6;1;1;2;1;3;2;2;1;2;2;1;6;1;1;1;3;2;6;1;1;1;1;2;4;2
Vanuit mijn rol binnen een opleiding.;Bachelor Pedagogiek vt2;Instituut voor Ecologische Pedagogiek;1;2;1;1;1;1;1;1;2;1;2;2;1;2;1;2;1;1;2;1;1;2;2;1;2;2;1;2;2;3;4;4;3;1;2;1;1;1;1;1;1;1;3;5;1;1;2;1;1;1;1;3;4;3;3;4
Vanuit mijn rol binnen een opleiding.;Team Physician-Assistent Utrecht;Instituut voor Verpleegkundige Studies;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2;2;2;2;3;2;2;2;2;2;2;2;2;2;2;2;3;2;2;2;3;2;2;2;3;2;2;2;2;2
Vanuit mijn rol binnen een opleiding.;Creative Business;Instituut voor Communicatie;1;2;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6
Vanuit mijn rol binnen een ondersteunende dienst.;Team Kwaliteitszorg en Assortiment;Dienst Onderwijs, Onderzoek & Studentzaken;2;2;2;2;2;3;2;1;2;1;2;2;2;1;1;1;1;1;2;2;1;2;2;2;2;1;2;3;1;2;4;4;1;1;8;2;1;2;2;2;1;2;4;4;1;3;2;1;3;1;1;3;2;1;2;2
Vanuit mijn rol binnen een opleiding.;Fysiotherapie team 2;Instituut voor Bewegingsstudies;1;2;1;2;2;2;2;2;1;1;2;2;2;2;6;1;6;6;2;2;1;1;2;1;1;1;2;2;2;6;6;6;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;1;2;2;2;2;2;2;2;2
Vanuit mijn rol binnen een opleiding.;Bachelor Social Work onderbouw team 3;Instituut voor Social Work;1;2;2;2;2;2;1;1;1;1;2;2;2;1;2;2;3;2;2;2;2;2;2;2;2;2;2;4;2;4;4;2;8;1;1;1;1;1;2;2;2;2;2;3;2;2;2;2;2;2;2;2;2;2;2;2
Vanuit mijn rol binnen een opleiding.;Communicatie & Media Design;Instituut voor Media;1;2;2;2;2;1;1;2;2;1;2;3;1;2;3;2;3;3;2;2;2;2;3;2;2;1;1;1;2;2;3;3;2;2;2;2;2;2;2;2;2;3;3;4;2;2;3;2;2;2;2;2;3;2;3;3
Vanuit mijn rol binnen een opleiding.;Creative Business 4;Instituut voor Communicatie;1;2;1;1;1;1;1;1;2;1;3;3;1;1;1;1;6;1;1;1;1;1;1;2;2;1;1;1;1;1;1;1;1;7;7;7;7;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;2;6
Vanuit mijn rol binnen een opleiding.;Nederlands;Instituut Archimedes;1;2;2;1;1;1;2;1;2;2;2;2;2;2;2;2;3;2;3;3;3;5;4;3;3;1;1;1;3;5;4;4;5;1;1;1;1;1;2;3;3;3;4;4;5;5;5;5;5;3;4;4;3;2;5;5
Vanuit mijn rol binnen een ondersteunende dienst.;Gemeenschapsvorming HU;Dienst Onderwijs, Onderzoek & Studentzaken;2;2;2;2;2;1;1;1;1;1;2;2;1;2;2;2;2;2;2;2;1;1;1;2;3;2;2;1;2;3;2;2;1;1;2;1;1;1;2;2;1;1;1;1;1;1;2;2;2;2;2;2;2;2;3;3
Vanuit mijn rol binnen een opleiding.;Commerciele Economie team 1;Institute for Marketing & Commerce;1;2;4;2;2;1;1;2;1;1;2;3;2;2;3;2;4;3;2;3;2;4;3;2;2;2;2;1;3;4;4;4;3;2;2;3;2;2;4;4;4;4;4;4;4;4;4;2;4;3;3;2;3;4;4;4
Vanuit mijn rol binnen een ondersteunende dienst.;Studievoortgangsregistratie Team 1;Dienst Bedrijfsvoering;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2;2;2;1;1;1;1;1;2;3;1;2;3;2;3;3;2;6;2;3;3;3;3;6;6;6;6;6;6;3;3;6;6;6;2;3;6;6;6;6;6
Vanuit mijn rol binnen een opleiding.;HBO-ICT Studieloopbaanbegeleiding;​Institute for Information & Communication Technology;1;2;2;2;2;2;2;1;2;1;2;7;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;2;2;6;2;2;7;7;7;7;1;7;7;7;7;7;6;2;2;3;2;2;7;7;2;2;3;2;2
Vanuit mijn rol binnen een opleiding.;Vaktherapie;Instituut voor Social Work;1;2;2;2;2;2;1;1;1;1;1;1;2;2;1;1;1;1;2;1;2;4;2;1;2;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2;2;2;2;1;1;2;2;2
Vanuit mijn rol binnen een opleiding.;Communicatie & Media Design team 1;Instituut voor Media;1;2;3;2;2;2;2;2;3;1;2;2;2;2;6;2;6;6;6;2;2;2;2;2;4;2;2;2;2;6;2;2;7;2;2;2;2;2;6;6;6;6;6;6;2;2;6;2;2;2;2;3;3;3;3;3
Vanuit mijn rol binnen een ondersteunende dienst.;International Office Team 1;Dienst Onderwijs, Onderzoek & Studentzaken;2;2;2;2;2;2;2;2;1;1;1;1;2;1;1;1;1;1;1;2;1;2;1;1;1;2;1;2;1;2;2;2;3;2;3;2;2;2;2;2;2;2;2;2;2;2;3;2;3;3;3;2;2;2;2;2
Vanuit mijn rol binnen een opleiding.;Scheikunde;Instituut Archimedes;1;2;2;2;1;2;1;2;3;1;2;1;1;2;1;3;3;3;4;2;1;2;1;1;2;2;1;2;1;2;4;4;3;1;1;2;1;1;2;2;1;2;3;3;2;3;3;2;2;2;1;2;2;3;2;3
Vanuit mijn rol binnen een opleiding.;SJD vt team 3&4;Instituut voor Recht;1;2;2;1;1;1;1;1;1;1;1;1;1;2;2;1;1;1;2;2;2;2;2;2;2;2;1;1;2;2;1;1;1;1;1;1;1;1;2;2;2;1;2;1;1;1;2;2;2;1;1;2;2;2;2;2
Vanuit mijn rol binnen een opleiding.;Engels;Instituut Archimedes;1;2;2;4;2;3;1;1;2;3;2;2;1;1;1;1;3;2;1;2;2;3;3;3;1;4;2;2;3;2;2;2;2;3;1;3;2;1;2;2;2;3;3;3;2;2;3;3;3;2;2;2;2;2;2;2
Vanuit mijn rol binnen een opleiding.;Fysiotherapie team 2;Institute for Life Sciences & Chemistry;1;2;2;2;1;1;2;1;1;1;1;1;1;2;2;2;2;2;2;1;1;2;2;1;3;2;1;2;2;3;4;3;2;1;1;2;1;1;2;2;2;2;3;3;3;3;4;3;2;2;3;2;2;3;3;3
Vanuit mijn rol binnen een opleiding.;Commerciele Economie team 3;Institute for Marketing & Commerce;1;2;1;1;1;1;1;1;2;1;2;1;2;2;3;3;3;2;3;3;2;3;3;3;2;3;2;2;3;3;3;3;3;2;2;2;2;2;3;3;3;3;3;4;3;3;3;3;3;2;3;3;2;2;3;3
